product_id,listing_price,sale_price,discount,revenue,price_label
G27341,75.99,37.99,0.5,1641.17,Expensive
CM0081,9.99,5.99,0.4,398.93,Budget
B44832,69.99,34.99,0.5,2204.37,Expensive
D98205,79.99,39.99,0.5,5182.7,Expensive
B75586,47.99,19.2,0.6,1555.2,Average
CG4051,47.99,23.99,0.5,86.36,Average
CM0080,9.99,5.99,0.4,75.47,Budget
B75990,55.99,27.99,0.5,806.11,Average
EE5761,65.99,39.59,0.4,2779.22,Expensive
EE4553,75.99,45.59,0.4,2954.23,Expensive
EF9315,65.99,39.59,0.4,2494.17,Expensive
F35281,59.99,29.99,0.5,5236.25,Average
EF9220,75.99,45.59,0.4,5087.84,Expensive
EG0000,79.99,39.99,0.5,1151.71,Expensive
B44889,59.99,29.99,0.5,3724.76,Average
CL7417,45.99,22.99,0.5,662.11,Budget
CL7408,39.99,19.99,0.5,287.86,Budget
B43601,32.99,16.49,0.5,1840.28,Budget
EE8245,42.99,21.49,0.5,2591.69,Budget
EE8042,55.99,27.99,0.5,1511.46,Average
CL7429,42.99,21.49,0.5,1663.33,Budget
CL7370,37.99,22.79,0.4,533.29,Budget
EE9946,65.99,32.99,0.5,4809.94,Expensive
CK9741,37.99,18.99,0.5,2392.74,Budget
CL7363,32.99,19.79,0.4,1638.61,Budget
CL7372,37.99,22.79,0.4,2584.39,Budget
CL7430,42.99,21.49,0.5,3674.79,Budget
F34485,55.99,33.59,0.4,906.93,Average
CL7365,32.99,19.79,0.4,1211.15,Budget
CL7373,32.99,19.79,0.4,3063.49,Budget
CL7364,32.99,19.79,0.4,106.87,Budget
CL7374,32.99,19.79,0.4,2386.67,Budget
EE8167,55.99,33.59,0.4,302.31,Average
CL7410,39.99,23.99,0.4,3670.47,Budget
CL7401,55.99,33.59,0.4,241.85,Average
EE8219,45.99,27.59,0.4,1738.17,Budget
CL7402,55.99,33.59,0.4,786.01,Average
EE9929,85.99,51.59,0.4,1857.24,Expensive
EE8221,65.99,39.59,0.4,2921.74,Expensive
EE8224,65.99,39.59,0.4,5130.86,Expensive
EE9941,65.99,39.59,0.4,2280.38,Expensive
EE8522,75.99,45.59,0.4,6893.21,Expensive
EE9932,55.99,33.59,0.4,4534.65,Average
EE8375,69.99,41.99,0.4,302.33,Expensive
EE9798,55.99,33.59,0.4,2902.18,Average
EE8502,49.99,29.99,0.4,647.78,Average
EF0450,49.99,29.99,0.4,4480.51,Average
CL7375,32.99,19.79,0.4,391.84,Budget
EF0446,49.99,29.99,0.4,2267.24,Average
EF0529,69.99,41.99,0.4,5215.16,Expensive
EE9940,65.99,39.59,0.4,2351.65,Expensive
EE4954,119.99,71.99,0.4,4535.37,Elite
CL4156,26.99,13.49,0.5,2161.1,Budget
EE4893,79.99,47.99,0.4,4059.95,Expensive
EE9937,55.99,33.59,0.4,5683.43,Average
G27649,79.99,47.99,0.4,3023.37,Expensive
EE9797,55.99,33.59,0.4,2358.02,Average
CI9914,49.99,20.0,0.6,3528.0,Average
EE8252,42.99,21.49,0.5,232.09,Budget
